Network Name,Latitude,Longitude,EOVs sampled,Date start sampled,Date end sampled,sampling site name,Original Order
OTN,27.05,-80.04,NA,2/24/08,7/4/08,HS,16698
OTN,26.48,-80.04,NA,9/3/09,1/5/10,PG,11858
OTN,26.77,-80.04,NA,1/30/08,7/4/08,PBI,16312
OTN,27.04,-80.03,NA,9/4/09,2/20/10,HSO,16832
OTN,26.98,-80.03,NA,1/31/08,7/4/08,MGW,16185
OTN,26.99,-80.02,NA,2/22/14,2/4/15,PTR,2981
OTN,26.98,-80.02,NA,2/20/10,6/11/10,MGE,4933
OTN,26.62,-80.02,NA,7/3/08,9/7/08,HSR,3066
OTN,26.93,-80.02,NA,2/8/12,1/12/13,CK,16198
OTN,26.65,-80.02,NA,6/10/10,2/4/11,PR,16641
OTNGlobal,27,-80.02,NA,3/16/16,9/16/16,CCSB-NORO,5763
OTN,26.71,-80.02,NA,9/1/11,2/7/12,BR,6029
OTN,26.87,-80.01,NA,2/5/11,9/2/11,MR,4905
OTN,26.77,-80.01,NA,8/24/07,1/30/08,SB,17390
OTN,26.75,-80.01,NA,1/5/10,6/10/10,SSS,5751
OTN,26.96,-80.01,NA,2/22/14,2/4/15,EB,16149
OTN,26.79,-80,NA,7/4/08,9/7/08,PA,3042
OTNGlobal,42.4,-79.97,NA,5/8/18,NA,EBG_088,16889
OTNGlobal,42.4,-79.6,NA,5/8/18,NA,EBG_090,21693
OTNGlobal,25.66,-79.32,NA,5/26/17,11/22/17,south west south turtle,5462
OTNGlobal,25.65,-79.32,NA,2/14/17,5/28/17,TR West,12212
OTNGlobal,25.67,-79.32,NA,1/9/16,6/24/16,west west turtle,6779
OTNGlobal,25.69,-79.32,NA,1/6/17,5/26/17,west west round rock,5329
OTNGlobal,25.7,-79.32,NA,7/27/14,3/25/15,bimini barge,5151
OTNGlobal,25.65,-79.31,NA,4/19/18,11/19/18,Triangle Rocks,7389
OTNGlobal,25.57,-79.31,NA,2/14/17,8/16/17,GUN WEST,13283
OTNGlobal,25.66,-79.31,NA,11/21/17,7/21/18,south west turtle,5240
OTNGlobal,25.7,-79.31,NA,3/10/15,7/14/15,grate west,7355
OTNGlobal,25.69,-79.31,NA,5/24/16,10/3/16,west round rock,5867
OTNGlobal,25.72,-79.31,NA,5/11/14,9/6/14,mini barge west,5293
OTNGlobal,25.67,-79.31,NA,7/23/15,1/9/16,northwest turtle rock,7157
OTNGlobal,25.58,-79.3,NA,2/14/17,8/16/17,GUN,5284
OTNGlobal,25.74,-79.3,NA,7/15/15,1/10/16,new barge,5417
OTNGlobal,25.67,-79.3,NA,6/2/16,10/3/16,south bimini 1 south,7294
OTNGlobal,25.68,-79.3,NA,4/23/14,7/27/14,south bimini 1,5300
OTNGlobal,25.69,-79.3,NA,5/9/16,6/2/16,East Round Rock,9287
OTNGlobal,25.55,-79.3,NA,8/16/17,7/16/18,Cat West,8019
OTNGlobal,25.76,-79.29,NA,4/27/18,11/9/18,pier,5533
OTNGlobal,25.66,-79.29,NA,8/16/17,4/21/18,Sapona 2,8942
OTNGlobal,25.67,-79.29,NA,4/21/18,7/12/18,Sapona 1,7402
OTNGlobal,25.7,-79.29,NA,4/17/18,11/16/18,Duck Pond,5046
OTNGlobal,25.68,-79.29,NA,4/23/14,7/24/14,south bimini 2,6846
OTNGlobal,25.81,-79.29,NA,3/25/15,7/15/15,mini wall,7879
OTNGlobal,25.55,-79.29,NA,2/14/17,8/16/17,CAT,6892
OTNGlobal,25.72,-79.28,NA,2/20/15,7/6/15,radio channel 4,5514
OTNGlobal,25.79,-79.28,NA,4/27/18,11/11/18,north pier,5271
OTNGlobal,25.67,-79.28,NA,5/5/17,11/3/17,south bimini 3 south,7310
OTNGlobal,25.68,-79.28,NA,11/3/17,4/19/18,south bimini 3,7295
OTNGlobal,25.69,-79.28,NA,4/17/18,11/16/18,Plane Wreck,6659
OTNGlobal,25.71,-79.28,NA,1/10/16,6/23/16,radio channel 3,6158
OTNGlobal,25.73,-79.28,NA,4/20/18,11/13/18,pigeon cay,8066
OTNGlobal,25.72,-79.27,NA,8/2/14,2/20/15,sharkland,5056
OTNGlobal,25.74,-79.27,NA,4/20/18,11/13/18,sharkland marsh,5879
OTNGlobal,25.67,-79.27,NA,2/22/15,7/3/15,south bimini 4 south,5672
OTNGlobal,25.68,-79.27,NA,1/21/16,6/2/16,south bimini 4,5554
OTNGlobal,25.81,-79.27,NA,4/27/18,11/11/18,mozel bank,5076
OTNGlobal,25.75,-79.27,NA,6/23/16,10/2/16,north sound 2,5877
OTNGlobal,25.69,-79.27,NA,5/5/17,11/2/17,Turtle Honey Hole,7265
OTNGlobal,25.73,-79.26,NA,4/22/18,7/21/18,Mangrove edge west,10726
OTNGlobal,25.71,-79.26,NA,1/10/16,6/23/16,radio channel 2,5547
OTNGlobal,25.77,-79.26,NA,3/22/15,7/8/15,north sound 1,6825
OTNGlobal,25.74,-79.26,NA,4/21/18,4/22/18,Drug lake,8092
OTNGlobal,25.8,-79.26,NA,11/4/16,5/27/17,north rock,6088
OTNGlobal,25.74,-79.25,NA,4/22/18,7/16/18,Drug entrance,4960
OTNGlobal,25.67,-79.25,NA,8/14/17,4/21/18,South Bimini 5 South,10286
OTNGlobal,25.7,-79.25,NA,5/4/17,11/3/17,radio channel 1,5459
OTNGlobal,25.72,-79.25,NA,10/30/17,4/20/18,lagoon,9568
OTNGlobal,25.73,-79.25,NA,1/10/16,6/3/16,bonefish hole,5584
OTNGlobal,25.74,-79.24,NA,12/4/17,4/20/18,Aya inside,5231
OTNGlobal,25.73,-79.24,NA,10/30/17,4/21/18,east,11677
OTNGlobal,25.79,-79.24,NA,1/13/14,4/29/14,east wells north east,5883
OTNGlobal,25.7,-79.24,NA,5/29/17,11/4/17,south bimini north east,8188
OTNGlobal,25.65,-79.24,NA,6/3/16,10/2/16,Nurse Wing,9094
OTNGlobal,25.73,-79.23,NA,11/5/17,4/20/18,bonefish hole channel flag,6429
OTNGlobal,25.77,-79.23,NA,1/15/14,4/29/14,north finger 2,7675
OTNGlobal,25.71,-79.23,NA,4/23/14,8/5/14,longline a,5384
OTNGlobal,25.72,-79.23,NA,4/23/18,11/17/18,longline c,5096
OTNGlobal,25.75,-79.23,NA,3/9/15,7/7/15,north finger 1,5341
OTNGlobal,25.7,-79.22,NA,6/3/16,10/2/16,south longline a east,6327
OTNGlobal,25.71,-79.21,NA,3/9/15,7/4/15,longline a east,7794
OTNGlobal,25.72,-79.21,NA,11/6/16,5/23/17,longline c east,5069
OTNGlobal,33.21,-79.19,NA,5/30/19,NA,MNS1,19772
OTNGlobal,33.22,-79.19,NA,5/30/19,NA,MNS2,17085
OTNGlobal,33.21,-79.18,NA,5/30/19,NA,MNS3,20261
OTNGlobal,27.03,-79.16,NA,6/25/14,8/10/18,NH-BP,7991
OTNGlobal,27.04,-79.16,NA,10/20/13,8/10/18,NH12,16137
OTNGlobal,27.02,-79.16,NA,6/25/14,8/10/18,NH-HT,10625
OTNGlobal,27.01,-79.15,NA,10/20/13,8/10/18,NH10,6195
