Latitude_org,"N,S",Longitude_org,"E,W",Latitude,Longitude
35.483,N,145.767,E,35.48,145.77
35.483,N,146.033,E,35.48,146.03
35.483,N,146.95,E,35.48,146.95
35.483,N,147.233,E,35.48,147.23
35.483,N,149.517,E,35.48,149.52
35.483,N,151.8,E,35.48,151.8
35.498,N,131.248,E,35.5,131.25
35.5,N,131.996,E,35.5,132
35.5,N,132.022,E,35.5,132.02
35.5,N,132.333,E,35.5,132.33
35.5,N,140.7,E,35.5,140.7
35.5,N,141.18,E,35.5,141.18
35.5,N,141.25,E,35.5,141.25
35.5,N,142.767,E,35.5,142.77
35.5,N,143.01,E,35.5,143.01
35.5,N,143.483,E,35.5,143.48
35.5,N,144.267,E,35.5,144.27
35.5,N,145.05,E,35.5,145.05
35.5,N,146.033,E,35.5,146.03
35.5,N,146.15,E,35.5,146.15
35.5,N,147.017,E,35.5,147.02
35.5,N,147.25,E,35.5,147.25
35.5,N,148.767,E,35.5,148.77
35.5,N,149,E,35.5,149
35.5,N,150.25,E,35.5,150.25
35.5,N,150.267,E,35.5,150.27
35.5,N,151.017,E,35.5,151.02
35.5,N,151.75,E,35.5,151.75
35.5,N,153.233,E,35.5,153.23
35.502,N,151.002,E,35.5,151
35.503,N,173.005,W,35.5,-173
35.508,N,178.983,E,35.51,178.98
35.517,N,141.55,E,35.52,141.55
35.517,N,142,E,35.52,142
35.517,N,145.483,E,35.52,145.48
35.517,N,147.967,E,35.52,147.97
35.517,N,149.5,E,35.52,149.5
35.517,N,153.983,E,35.52,153.98
35.517,N,154.75,E,35.52,154.75
35.517,N,155.483,E,35.52,155.48
35.517,N,160,E,35.52,160
35.533,N,145,E,35.53,145
35.533,N,148,E,35.53,148
35.533,N,148.767,E,35.53,148.77
35.533,N,152.4,E,35.53,152.4
35.533,N,154.7,E,35.53,154.7
35.533,N,158.483,E,35.53,158.48
35.55,N,133.667,E,35.55,133.67
35.55,N,147.9,E,35.55,147.9
35.58,N,132.97,E,35.58,132.97
35.58,N,160,E,35.58,160
35.5978,N,131.099,E,35.6,131.1
35.6,N,146.133,E,35.6,146.13
35.607,N,166.937,E,35.61,166.94
35.63,N,140.97,E,35.63,140.97
35.63,N,155,E,35.63,155
35.633,N,145.067,E,35.63,145.07
35.65,N,135.433,E,35.65,135.43
35.65,N,146.5,E,35.65,146.5
35.65,N,152.533,E,35.65,152.53
35.662,N,133.502,E,35.66,133.5
35.666,N,133.5,E,35.67,133.5
35.667,N,145,E,35.67,145
35.67,N,135.82,E,35.67,135.82
35.677,NA,154.968,E,35.68,154.97
35.698,N,132.743,E,35.7,132.74
35.7,N,132.749,E,35.7,132.75
35.7,N,140.993,E,35.7,140.99
35.7,N,141,E,35.7,141
35.7,N,141.25,E,35.7,141.25
35.7,N,141.492,E,35.7,141.49
35.7,N,141.5,E,35.7,141.5
35.7,N,141.75,E,35.7,141.75
35.7,N,142,E,35.7,142
35.7,N,142.02,E,35.7,142.02
35.7,N,145,E,35.7,145
35.7,N,145.983,E,35.7,145.98
35.7,N,146,E,35.7,146
35.702,N,141.991,E,35.7,141.99
35.707,N,132.751,E,35.71,132.75
35.71,N,132.758,E,35.71,132.76
35.71,N,154.9,E,35.71,154.9
35.717,N,146.667,E,35.72,146.67
35.72,N,142.25,E,35.72,142.25
35.725,N,134.254,E,35.73,134.25
35.727,N,134.267,E,35.73,134.27
35.733,N,145,E,35.73,145
35.739,N,134.247,E,35.74,134.25
35.74,N,141.37,E,35.74,141.37
35.75,N,141.25,E,35.75,141.25
35.75,N,143.75,E,35.75,143.75
35.75,N,145.25,E,35.75,145.25
35.75,N,147.483,E,35.75,147.48
35.76,N,141.27,E,35.76,141.27
35.793,N,147.073,E,35.79,147.07
35.833,N,131.133,E,35.83,131.13
35.833,N,146.167,E,35.83,146.17
35.867,N,145.367,E,35.87,145.37
35.878,N,135.735,E,35.88,135.74
35.882,N,168.982,W,35.88,-168.98
35.903,N,164.998,W,35.9,-165
35.91,N,160,E,35.91,160
35.917,N,145.183,E,35.92,145.18
35.917,N,145.933,E,35.92,145.93
35.917,N,146.067,E,35.92,146.07
35.933,N,145.033,E,35.93,145.03
35.933,N,145.583,E,35.93,145.58
35.933,N,146.033,E,35.93,146.03
